Date,Open,High,Low,Close,Adj Close,Volume
"$44,018.00","$3,125.25","$3,174.50","$3,105.75","$3,172.00","$3,172.00","$1,459,512.00"
"$44,019.00","$3,170.00","$3,184.00","$3,132.50","$3,136.50","$3,136.50","$1,333,466.00"
"$44,020.00","$3,135.25","$3,166.25","$3,125.50","$3,163.50","$3,163.50","$1,527,612.00"
"$44,021.00","$3,166.25","$3,170.75","$3,105.25","$3,141.00","$3,141.00","$1,881,833.00"
"$44,022.00","$3,142.25","$3,181.25","$3,111.50","$3,178.50","$3,178.50","$1,408,591.00"
"$44,024.00","$3,183.50","$3,199.00","$3,183.50","$3,190.00","$3,190.00","$2,686,372.00"
"$44,025.00","$3,183.50","$3,226.25","$3,140.50","$3,148.25","$3,148.25","$2,074,726.00"
"$44,026.00","$3,149.75","$3,192.25","$3,119.00","$3,183.50","$3,183.50","$2,256,766.00"
"$44,027.00","$3,204.00","$3,233.25","$3,192.00","$3,219.50","$3,219.50","$1,937,696.00"
"$44,028.00","$3,223.25","$3,228.50","$3,188.50","$3,194.50","$3,194.50","$1,471,311.00"
"$44,029.00","$3,198.50","$3,225.25","$3,194.75","$3,214.00","$3,214.00","$1,261,113.00"
"$44,031.00","$3,214.50","$3,222.00","$3,212.25","$3,221.00","$3,221.00","$1,428,748.00"
"$44,032.00","$3,214.50","$3,250.50","$3,190.25","$3,245.25","$3,245.25","$1,401,168.00"
"$44,033.00","$3,243.75","$3,273.25","$3,239.25","$3,251.25","$3,251.25","$1,463,931.00"
"$44,034.00","$3,249.25","$3,271.75","$3,227.25","$3,265.50","$3,265.50","$1,354,244.00"
"$44,035.00","$3,267.75","$3,284.50","$3,214.25","$3,227.50","$3,227.50","$1,704,453.00"
"$44,036.00","$3,230.00","$3,239.00","$3,191.50","$3,204.00","$3,204.00","$1,761,346.00"
"$44,038.00","$3,210.75","$3,213.50","$3,192.00","$3,201.00","$3,201.00","$2,329,517.00"
"$44,039.00","$3,210.75","$3,235.00","$3,192.00","$3,232.25","$3,232.25","$1,299,512.00"
"$44,040.00","$3,235.00","$3,246.75","$3,208.00","$3,213.00","$3,213.00","$1,375,293.00"
"$44,041.00","$3,215.00","$3,257.00","$3,204.25","$3,252.50","$3,252.50","$1,218,031.00"
"$44,042.00","$3,256.75","$3,269.00","$3,195.00","$3,248.75","$3,248.75","$2,000,721.00"
"$44,043.00","$3,269.25","$3,273.75","$3,212.50","$3,263.50","$3,263.50","$2,282,794.00"
"$44,045.00","$3,272.00","$3,273.75","$3,255.75","$3,262.25","$3,262.25","$1,720,821.00"
"$44,046.00","$3,272.00","$3,295.50","$3,254.75","$3,288.50","$3,288.50","$1,250,449.00"
"$44,047.00","$3,290.75","$3,300.50","$3,271.00","$3,300.00","$3,300.00","$1,145,269.00"
"$44,048.00","$3,300.75","$3,323.25","$3,292.00","$3,316.00","$3,316.00","$1,116,787.00"
"$44,049.00","$3,317.00","$3,345.50","$3,300.50","$3,344.25","$3,344.25","$1,346,665.00"
"$44,050.00","$3,343.75","$3,347.75","$3,322.25","$3,344.75","$3,344.75","$1,615,367.00"
"$44,052.00","$3,347.00","$3,347.00","$3,335.00","$3,341.50","$3,341.50","$1,926,926.00"
"$44,053.00","$3,347.00","$3,357.25","$3,329.00","$3,352.75","$3,352.75","$1,201,751.00"
"$44,054.00","$3,350.25","$3,379.00","$3,319.50","$3,330.00","$3,330.00","$1,733,040.00"
"$44,055.00","$3,339.50","$3,382.50","$3,326.25","$3,370.00","$3,370.00","$1,408,718.00"
"$44,056.00","$3,367.75","$3,382.00","$3,357.50","$3,367.75","$3,367.75","$1,205,758.00"
"$44,057.00","$3,369.25","$3,380.50","$3,350.00","$3,361.50","$3,361.50","$1,084,771.00"
"$44,059.00","$3,366.00","$3,369.50","$3,365.50","$3,369.00","$3,369.00","$700,957.00"
"$44,060.00","$3,366.00","$3,382.75","$3,364.75","$3,379.75","$3,379.75","$759,304.00"
"$44,061.00","$3,379.25","$3,390.75","$3,365.25","$3,387.00","$3,387.00","$1,019,552.00"
"$44,062.00","$3,388.75","$3,395.75","$3,365.50","$3,372.75","$3,372.75","$1,368,420.00"
"$44,063.00","$3,370.25","$3,387.00","$3,344.75","$3,380.75","$3,380.75","$1,203,334.00"
"$44,064.00","$3,383.50","$3,396.25","$3,356.75","$3,392.50","$3,392.50","$1,221,450.00"
"$44,066.00","$3,398.75","$3,401.50","$3,395.00","$3,400.00","$3,400.00","$1,572,476.00"
"$44,067.00","$3,398.75","$3,429.50","$3,393.50","$3,427.50","$3,427.50","$1,282,950.00"
"$44,068.00","$3,427.00","$3,448.75","$3,421.75","$3,443.00","$3,443.00","$1,133,837.00"
"$44,069.00","$3,444.75","$3,483.50","$3,436.75","$3,480.25","$3,480.25","$1,277,539.00"
"$44,070.00","$3,479.50","$3,498.25","$3,464.75","$3,485.25","$3,485.25","$1,633,581.00"
"$44,071.00","$3,488.00","$3,509.50","$3,480.75","$3,504.50","$3,504.50","$1,248,430.00"
"$44,073.00","$3,508.50","$3,516.75","$3,508.50","$3,516.25","$3,516.25","$927,704.00"
"$44,074.00","$3,508.50","$3,524.50","$3,490.00","$3,499.00","$3,499.00","$1,439,600.00"
"$44,075.00","$3,493.25","$3,530.00","$3,484.25","$3,527.00","$3,527.00","$1,283,622.00"
"$44,076.00","$3,529.00","$3,587.00","$3,526.25","$3,579.25","$3,579.25","$1,853,078.00"
"$44,077.00","$3,578.75","$3,586.50","$3,424.50","$3,461.50","$3,461.50","$2,872,337.00"
"$44,078.00","$3,454.75","$3,484.25","$3,347.75","$3,417.50","$3,417.50","$2,994,363.00"
"$44,080.00",null,null,null,null,null,null
"$44,082.00","$3,420.50","$3,447.00","$3,327.50","$3,335.50","$3,335.50","$2,732,946.00"
"$44,083.00","$3,315.25","$3,424.00","$3,295.50","$3,400.25","$3,400.25","$2,011,132.00"
"$44,084.00","$3,396.00","$3,424.25","$3,327.25","$3,340.50","$3,340.50","$2,332,667.00"
"$44,085.00","$3,345.25","$3,375.00","$3,308.75","$3,333.75","$3,333.75","$1,876,451.00"
"$44,087.00",null,null,null,null,null,null
"$44,088.00","$3,350.00","$3,402.75","$3,345.50","$3,382.50","$3,382.50","$1,378,626.00"
"$44,089.00","$3,379.50","$3,419.00","$3,376.00","$3,405.25","$3,405.25","$874,366.00"
"$44,090.00","$3,405.00","$3,429.75","$3,384.00","$3,389.50","$3,389.50","$571,749.00"
"$44,091.00","$3,392.75","$3,396.50","$3,320.50","$3,361.50","$3,361.50","$384,917.00"
"$44,092.00","$3,355.75","$3,374.25","$3,341.75","$3,353.60","$3,353.60","$2,365,554.00"
"$44,094.00",null,null,null,null,null,null
