TimeStamp,   Open Interest   
14/08/2020," 662,299,192.00 "
15/08/2020," 636,322,000.00 "
16/08/2020," 642,188,408.00 "
17/08/2020," 634,210,504.00 "
18/08/2020," 635,073,392.00 "
19/08/2020," 621,442,296.00 "
20/08/2020," 621,370,312.00 "
21/08/2020," 614,036,800.00 "
22/08/2020," 598,429,936.00 "
23/08/2020," 590,752,208.00 "
24/08/2020," 580,001,448.00 "
25/08/2020," 584,021,304.00 "
26/08/2020," 569,850,776.00 "
27/08/2020," 555,944,216.00 "
28/08/2020," 531,246,976.00 "
29/08/2020," 505,998,672.00 "
30/08/2020," 500,340,240.00 "
31/08/2020," 516,315,480.00 "
01/09/2020," 543,304,816.00 "
02/09/2020," 557,350,288.00 "
03/09/2020," 543,357,272.00 "
04/09/2020," 504,175,136.00 "
05/09/2020," 471,088,304.00 "
06/09/2020," 466,502,184.00 "
07/09/2020," 457,619,016.00 "
08/09/2020," 436,048,560.00 "
09/09/2020," 430,268,400.00 "
10/09/2020," 414,864,560.00 "
11/09/2020," 404,879,900.00 "
12/09/2020," 405,830,688.00 "
13/09/2020," 409,674,048.00 "
14/09/2020," 422,158,544.00 "
15/09/2020," 407,274,952.00 "
16/09/2020," 408,425,448.00 "
17/09/2020," 404,343,408.00 "
18/09/2020," 404,719,696.00 "
19/09/2020," 406,410,840.00 "
20/09/2020," 411,143,072.00 "
21/09/2020," 403,852,336.00 "
22/09/2020," 393,910,288.00 "
23/09/2020," 396,210,256.00 "
24/09/2020," 381,598,568.00 "
25/09/2020," 353,833,428.00 "
26/09/2020," 322,694,428.00 "
27/09/2020," 329,629,608.00 "
28/09/2020," 334,520,908.00 "
29/09/2020," 226,120,648.00 "
